ID,Group,Order
153926,Group1,1
154500,Group1,
155505,Group1,
160418,Group1,
161069,Group1,
165637,Group1,
165605,Group1,
165579,Group1,
152882,Group1,
165621,Group1,
166107,Group1,
155695,Group1,
152194,Group2,2
152743,Group2,
154044,Group2,
154435,Group2,
154691,Group2,
155083,Group2,
155024,Group2,
157272,Group2,
160345,Group2,
161896,Group2,
166140,Group2,
168874,Group2,
153657,Group2,
153392,Group2,
152732,Group3,3
153840,Group3,
154051,Group3,
154404,Group3,
156236,Group3,
158127,Group3,
159184,Group3,
160606,Group3,
163709,Group3,
152573,Group3,
165776,Group3,
167403,Group3,
